     ---           0.267730360 0.000000388 0.101 2167.76396   -      -    1O       
     ---           0.215238808 0.001153052 0.043 2167.70403   -      -    2O       
     ---           0.152455541 0.000000184 0.034 2167.69248   -      -    =1/(1/P1+1/P2)       
     ---           0.177042035 0.000000248 0.023 2167.63652   -      -    =P1/2       
OGLE-LMC-DSCT-0949 0.100183967 0.000001433 0.069 2167.75536 19.607 20.134 1O
     ---           0.129653870 0.000000359 0.056 2167.80881   -      -    F       
OGLE-LMC-DSCT-0972 0.052556389 0.000000013 0.046 2167.79078 17.082 17.458 F
     ---           0.040957003 0.000004619 0.012 2167.82101   -      -    1O       
     ---           0.026278194 0.000000004 0.011 2167.81418   -      -    =P1/2       
OGLE-LMC-DSCT-1010 0.182859334 0.000000375 0.047 2167.76858 18.727 19.305 F
     ---           0.140237239 0.000000240 0.037 2167.78309   -      -    1O       
OGLE-LMC-DSCT-1053 0.130999675 0.000000326 0.074 2167.75460 19.689 20.233 F
     ---           0.101152787 0.000010076 0.057 2167.79546   -      -    1O       
OGLE-LMC-DSCT-1071 0.072146929 0.000008154 0.067  457.71605 19.712 20.067 3O
     ---           0.085116541 0.000054366 0.028  457.68781   -      -    2O       
OGLE-LMC-DSCT-1086 0.293466980 0.000000670 0.042  457.34880 17.887 18.167 F
     ---           0.227424967 0.000000523 0.036  457.50894   -      -    1O       
     ---           0.146733490 0.000000237 0.013  457.47398   -      -    =P1/2       
OGLE-LMC-DSCT-1120 0.273805178 0.000033016 0.047  457.31138 18.802 19.387 F
     ---           0.207704688 0.000000797 0.040  457.49048   -      -    1O       
OGLE-LMC-DSCT-1217 0.054712714 0.000000015 0.027  455.62088 17.937 18.341 F
     ---           0.042647970 0.000000739 0.009  455.65494   -      -    1O       
OGLE-LMC-DSCT-1223 0.113454526 0.000000118 0.106  455.60699 20.046 20.466 F
     ---           0.087744535 0.000016949 0.057  455.63028   -      -    1O       
OGLE-LMC-DSCT-1255 0.140441619 0.000000101 0.065  456.53728 19.074 19.579 1O
     ---           0.183422430 0.000000207 0.057  456.55589   -      -    F       
     ---           0.079539989 0.000000051 0.024  456.60803   -      -    =1/(1/P1+1/P2)       
OGLE-LMC-DSCT-1281 0.186737690 0.000000192 0.086  455.47573 19.054 19.544 1O
     ---           0.125497501 0.000000186 0.039  455.59068   -      -    3O       
OGLE-LMC-DSCT-1338 0.062611995 0.000016016 0.051 2123.90477 19.733 20.255
     ---           0.070744507 0.000000146 0.051 2123.84945   -      -           
OGLE-LMC-DSCT-1368 0.219381589 0.000001011 0.060 2156.81267 19.161 19.812 F
     ---           0.168544233 0.000000627 0.045 2156.78991   -      -    1O       
OGLE-LMC-DSCT-1370 0.111935593 0.000000216 0.111 2123.85642 19.952 20.485 F
     ---           0.087439827 0.000000151 0.090 2123.82214   -      -    1O       
OGLE-LMC-DSCT-1372 0.098839928 0.000000088 0.066  455.57613 19.448 19.933 1O
     ---           0.127979891 0.000013828 0.055  455.52527   -      -    F       
OGLE-LMC-DSCT-1401 0.122833619 0.000000275 0.070 2115.83552 19.413 19.897 1O
     ---           0.159686917 0.000000562 0.064 2115.80085   -      -    F       
OGLE-LMC-DSCT-1406 0.111598560 0.000000388 0.024 2123.82426 19.056 19.488 2O
     ---           0.136436101 0.000000564 0.023 2123.76052   -      -    1O       
OGLE-LMC-DSCT-1525 0.216392233 0.000000219 0.076  446.62759 19.255 20.002 F
     ---           0.165557118 0.000000185 0.069  446.66274   -      -    1O       
     ---           0.093795877 0.000000072 0.025  446.62567   -      -    =1/(1/P1+1/P2)       
     ---           0.704734789 0.000004079 0.025  446.03531   -      -    =1/(1/P2-1/P1)       
OGLE-LMC-DSCT-1531 0.119029067 0.000319584 0.043 2167.81054 18.726 19.107 3O
     ---           0.142628295 0.000000436 0.032 2167.70640   -      -    2O daily alias is possible      
OGLE-LMC-DSCT-1536 0.083492449 0.000011923 0.086  446.67262 20.002 20.396 1O
