OGLE-LMC-DSCT-0052 19.801 20.230 0.085467031 0.000000098 2165.84841 0.238 0.468 4.070  
OGLE-LMC-DSCT-0053 20.183 20.701 0.084352986 0.000000093 2165.79148 0.270 0.473 4.127  
OGLE-LMC-DSCT-0054 19.957 20.762 0.084603597 0.000000249 2171.86104 0.118 0.321 0.808  
OGLE-LMC-DSCT-0055 20.420 20.922 0.069598910 0.000000116 2171.82764 0.237 0.156 3.405  
OGLE-LMC-DSCT-0056 20.367    -   0.056710935 0.000000046 2162.83107 0.509 0.280 5.216  
OGLE-LMC-DSCT-0057 19.821 20.182 0.102169911 0.000000168 2171.86141 0.234 0.248 3.631  
OGLE-LMC-DSCT-0058 18.893 19.257 0.052148582 0.000000012 2171.86469 0.312 0.397 3.849  
OGLE-LMC-DSCT-0059 19.992 20.488 0.102992856 0.000000146 2171.83826 0.193 0.300 3.897  
OGLE-LMC-DSCT-0060 19.785 20.255 0.092624713 0.000000190 2165.84718 0.158 0.325 4.698  
OGLE-LMC-DSCT-0061 20.112 20.591 0.079797777 0.000000137 2171.84388 0.223 0.335 4.124  
OGLE-LMC-DSCT-0062 20.534 21.069 0.075785851 0.000000073 2165.85127 0.276 0.478 4.374  
OGLE-LMC-DSCT-0063 20.126 20.675 0.109412332 0.000000132 2171.84725 0.270 0.378 4.292  
OGLE-LMC-DSCT-0064 20.090 20.540 0.073751306 0.000000083 2165.78941 0.205 0.389 4.624  
OGLE-LMC-DSCT-0065 20.779 21.107 0.076524139 0.000000096 2165.81728 0.365 0.485 3.407  
OGLE-LMC-DSCT-0066 20.709 21.108 0.065495019 0.000000127 2171.84445 0.218 0.101 1.559  
OGLE-LMC-DSCT-0067 20.473 20.886 0.081885966 0.000000169 2165.83289 0.305 0.090 4.323  
OGLE-LMC-DSCT-0068 19.214 19.588 0.116853926 0.000000296 2165.77400 0.104 0.146 5.762  
OGLE-LMC-DSCT-0069 20.380 20.752 0.089061390 0.000000193 2165.83481 0.258 0.290 4.051  
OGLE-LMC-DSCT-0070 20.288 20.806 0.068952621 0.000000085 2171.83518 0.227 0.316 3.829  
OGLE-LMC-DSCT-0071 20.305 20.730 0.085253682 0.000000103 2165.77228 0.252 0.354 4.596  
OGLE-LMC-DSCT-0072 20.173 20.476 0.079049244 0.000000132 2165.78418 0.217 0.281 4.235  
OGLE-LMC-DSCT-0073 19.186 19.754 0.078537978 0.000000074 2171.87044 0.115 0.342 3.759  
OGLE-LMC-DSCT-0074 21.057 21.666 0.079841946 0.000000240 2171.86522 0.330 0.123 1.507  
OGLE-LMC-DSCT-0075 20.345 20.680 0.075716777 0.000000081 2165.85084 0.235 0.341 4.317  
