OGLE-LMC-RRLYR-00459 18.840 19.316  0.3678579 0.0000013  2165.61330  0.225  0.000   -    0.000   -    0.4939970 0.0000032  2165.70621  0.160  0.285 4.088  0.000   -  
OGLE-LMC-RRLYR-00480 18.655 19.225  0.4056077 0.0000011  2171.48816  0.272  0.303 4.962  0.104 3.667  0.5434818 0.0000041  2171.58383  0.133  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00490 18.843 19.464  0.4025231 0.0000012  2165.73168  0.257  0.185 5.353  0.092 2.838  0.5399865 0.0000035  2165.57761  0.167  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00495 18.721 19.189  0.3578360 0.0000008  2165.69870  0.268  0.193 5.227  0.099 2.965  0.4809756 0.0000021  2165.82026  0.202  0.245 4.098  0.000   -  
OGLE-LMC-RRLYR-00502 18.890 19.418  0.3516672 0.0000009  2165.74573  0.266  0.234 4.826  0.000   -    0.4728066 0.0000021  2165.41524  0.151  0.232 3.654  0.000   -  
OGLE-LMC-RRLYR-00507 18.703 19.194  0.3890811 0.0000010  2165.49267  0.269  0.182 4.917  0.000   -    0.5214317 0.0000050  2165.67902  0.110  0.282 3.713  0.000   -  
OGLE-LMC-RRLYR-00516 18.935 19.508  0.3524899 0.0000011  2165.52217  0.237  0.198 4.819  0.000   -    0.4740239 0.0000026  2165.72393  0.190  0.248 4.329  0.000   -  
OGLE-LMC-RRLYR-00527 18.822 19.302  0.3626049 0.0000009  2165.74772  0.274  0.160 5.074  0.000   -    0.4868534 0.0000036  2165.59331  0.140  0.203 4.185  0.000   -  
OGLE-LMC-RRLYR-00536 18.518 19.028  0.4415794 0.0000013  2165.52122  0.238  0.172 5.276  0.096 3.612  0.5923128 0.0000041  2165.56508  0.155  0.185 4.201  0.000   -  
OGLE-LMC-RRLYR-00573 18.768 19.307  0.3489918 0.0000010  2165.69321  0.232  0.265 5.373  0.000   -    0.4694264 0.0000017  2165.68166  0.230  0.199 4.027  0.000   -  
OGLE-LMC-RRLYR-00582 18.554 19.097  0.4307216 0.0000012  2171.69168  0.229  0.215 5.458  0.115 2.947  0.5767685 0.0000069  2171.70868  0.077  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00622 18.738 19.158  0.3656113 0.0000009  2171.79041  0.250  0.155 4.908  0.100 3.953  0.4908464 0.0000023  2171.43057  0.204  0.184 4.212  0.000   -  
OGLE-LMC-RRLYR-00630 18.870 19.437  0.3589840 0.0000012  2189.71318  0.230  0.159 5.448  0.000   -    0.4821959 0.0000029  2189.73945  0.163  0.157 4.634  0.000   -  
OGLE-LMC-RRLYR-00647 18.899 19.435  0.3910969 0.0000010  2165.58243  0.257  0.227 4.828  0.083 3.680  0.5240288 0.0000056  2165.83912  0.090  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00701 18.956 19.478  0.3629903 0.0000014  2189.48545  0.249  0.168 5.525  0.000   -    0.4876782 0.0000044  2189.63098  0.139  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00724 18.846 19.382  0.3599579 0.0000011  2165.68866  0.238  0.144 5.539  0.000   -    0.4835907 0.0000031  2165.83305  0.167  0.141 4.791  0.000   -  
OGLE-LMC-RRLYR-00730 18.862 19.474  0.3886133 0.0000010  2165.87677  0.270  0.205 5.211  0.000   -    0.5210234 0.0000042  2165.39671  0.135  0.195 4.104  0.000   -  
OGLE-LMC-RRLYR-00758 18.984 19.544  0.3693337 0.0000011  2165.50928  0.250  0.128 5.113  0.155 3.906  0.4951810 0.0000035  2165.51423  0.125  0.259 3.750  0.000   -  
OGLE-LMC-RRLYR-00770 18.927 19.462  0.3602036 0.0000009  2165.75011  0.262  0.164 5.210  0.128 3.791  0.4840590 0.0000031  2165.62691  0.148  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00772 18.988 19.567  0.3464871 0.0000010  2165.70775  0.263  0.152 5.012  0.000   -    0.4654280 0.0000030  2165.52558  0.177  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00781 18.733 19.195  0.3500987 0.0000008  2165.67917  0.249  0.146 4.867  0.107 4.052  0.4705648 0.0000061  2165.50561  0.059  0.007   -    0.015   -  
OGLE-LMC-RRLYR-00827 18.682 19.125  0.3495912 0.0000008  2165.72057  0.245  0.176 4.996  0.074 3.201  0.4702711 0.0000016  2165.41388  0.210  0.239 4.306  0.000   -  
OGLE-LMC-RRLYR-00851 19.114 19.665  0.3465870 0.0000013  2171.72591  0.246  0.000   -    0.000   -    0.4665362 0.0000019  2171.82714  0.294  0.325 4.265  0.000   -  
OGLE-LMC-RRLYR-00865 19.016 19.681  0.3926998 0.0000015  2171.81516  0.287  0.255 5.533  0.000   -    0.5269343 0.0000046  2171.87756  0.161  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00883 18.585 19.022  0.3509514 0.0000005  2165.76824  0.268  0.119 5.203  0.000   -    0.4718586 0.0000074  2165.83686  0.037  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00884 19.002 19.557  0.3590117 0.0000013  2171.65340  0.259  0.170 4.975  0.204 3.375  0.4826756 0.0000026  2171.71192  0.249  0.272 4.015  0.000   -  
OGLE-LMC-RRLYR-00921 19.073 19.686  0.3502612 0.0000011  2183.60286  0.256  0.124 4.842  0.000   -    0.4708938 0.0000029  2183.62260  0.173  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00954 18.703 19.225  0.3680691 0.0000009  2171.80051  0.263  0.189 4.818  0.104 3.422  0.4945917 0.0000033  2171.66374  0.127  0.000   -    0.000   -  
OGLE-LMC-RRLYR-00955 18.806 19.263  0.3616766 0.0000009  2171.87757  0.261  0.204 5.038  0.000   -    0.4857533 0.0000025  2171.76674  0.180  0.000   -    0.000   -  
