OGLE-LMC-ACEP-003  18.313 18.794   0.3817797 0.0000002  2165.84229  0.529  0.385 3.926  0.166 2.060
OGLE-LMC-ACEP-006  17.057 17.671   0.8495758 0.0000009  2166.41212  0.389  0.462 4.752  0.237 2.581
OGLE-LMC-ACEP-008  17.300 17.911   0.7490681 0.0000011  2166.14121  0.262  0.235 3.477  0.122 1.271
OGLE-LMC-ACEP-009  17.344 17.913   0.8000803 0.0000012  2166.34228  0.366  0.186 4.829  0.105 3.154
OGLE-LMC-ACEP-013  17.963 18.488   0.5009227 0.0000005  2166.70918  0.446  0.355 4.196  0.108 2.226
OGLE-LMC-ACEP-015  16.962 17.587   1.1808787 0.0000027  2165.75281  0.383  0.255 3.426  0.146 0.756
OGLE-LMC-ACEP-020  17.998 18.359   0.3819013 0.0000002  2166.54389  0.491  0.365 3.970  0.146 2.133
OGLE-LMC-ACEP-023  17.194 17.763   0.7234331 0.0000003   726.26850  0.400  0.482 4.650  0.239 2.424
OGLE-LMC-ACEP-025  17.904 18.413   0.4744618 0.0000006  2167.80012  0.354  0.297 3.932  0.149 1.803
OGLE-LMC-ACEP-028  17.574 18.322   0.5992535 0.0000002   457.56427  0.332  0.583 4.320  0.337 2.290
OGLE-LMC-ACEP-030  17.258 17.685   0.6670589 0.0000004  2167.56414  0.538  0.392 4.631  0.101 2.328
OGLE-LMC-ACEP-031  17.215 17.727   0.8397205 0.0000012  2167.58580  0.401  0.160 4.596  0.065 3.065
OGLE-LMC-ACEP-035  18.143 18.658   0.4460486 0.0000004  2115.88331  0.508  0.380 4.243  0.107 1.968
OGLE-LMC-ACEP-043  17.913 18.593   0.5064704 0.0000009  2167.59135  0.356  0.552 4.711  0.156 2.129
OGLE-LMC-ACEP-050  16.609 17.049   1.0446912 0.0000009   454.74962  0.383  0.096 3.686  0.072 0.267
OGLE-LMC-ACEP-058  17.710 18.055   0.4852351 0.0000004   455.29493  0.255  0.440 3.967  0.201 1.755
OGLE-LMC-ACEP-070  17.735 18.370   0.6293707 0.0000017  2187.25945  0.271  0.333 4.510  0.186 3.172
OGLE-LMC-ACEP-071  17.330 17.755   0.6762087 0.0000010  2187.35869  0.406  0.276 4.521  0.073 2.447
OGLE-LMC-ACEP-078  16.979 17.417   0.8565557 0.0000010  2187.11324  0.391  0.146 4.385  0.047 3.011
OGLE-LMC-ACEP-082  17.207    -     0.7754317 0.0000035  2188.24914  0.469  0.150 4.673  0.067 3.505
OGLE-LMC-ACEP-083  17.646 18.236   0.5366171 0.0000016  2188.59874  0.497  0.385 4.131  0.264 2.169
