OGLE-LMC-ECL-00051  19.944 20.353    1.740861  3565.4602  0.835  0.236  1.203  1.807 0.5753
OGLE-LMC-ECL-00052  18.465 19.904    3.708670  3561.2149  0.247  0.065  1.588  5.383 0.7039
OGLE-LMC-ECL-00053  19.229 19.591    5.328574  3570.1827  0.449  0.125  1.110  1.863 0.8054
OGLE-LMC-ECL-00054  19.249 19.439    3.837591  3565.4210  1.347  0.291  3.028  9.551 1.4550
OGLE-LMC-ECL-00055  19.599 20.135    3.158311  3562.8528  0.442  0.145  0.804  0.909 0.4038
OGLE-LMC-ECL-00056  17.880 17.941    7.074845  3565.9668  0.414  0.099  2.702  7.079 1.6987
OGLE-LMC-ECL-00057  19.198 20.527    0.713445  3563.0754  0.616  0.144  2.151  6.535 1.1773
OGLE-LMC-ECL-00058  18.503 18.515    4.891144  3565.9776  0.201  0.062  1.016  1.782 0.3067
OGLE-LMC-ECL-00059  17.993 18.095    2.618172  3541.3210  0.214  0.062  1.643  3.058 1.3830
OGLE-LMC-ECL-00060  18.845 19.820   33.768970  3618.8040  0.442  0.119  1.536  3.304 0.6362
OGLE-LMC-ECL-00061  19.605 20.154    1.676109  3523.0739  0.787  0.223  1.484  2.248 1.1801
OGLE-LMC-ECL-00062  18.242 18.938    0.927317  3561.5333  0.218  0.064  1.062  1.002 0.9812
OGLE-LMC-ECL-00063  18.580 19.491    7.349032  3568.8995  0.286  0.081  0.580  0.527 0.8926
OGLE-LMC-ECL-00064  19.814 20.162    8.480654  3572.2599  0.558  0.169  1.289  2.918 0.4811
OGLE-LMC-ECL-00065  20.015 20.483    2.785173  3566.7996  0.766  0.215  1.424  3.084 0.4541
OGLE-LMC-ECL-00066  18.892 18.925    2.862930  3563.6672  0.440  0.105  2.151  6.386 1.1603
OGLE-LMC-ECL-00067  18.102 19.272   48.365482  3623.8837  0.126  0.043  0.244  0.036 0.5974
OGLE-LMC-ECL-00068  19.192 19.458    2.807320  3568.5071  1.215  0.258  3.088 11.425 1.4467
OGLE-LMC-ECL-00069  19.389 20.100    4.432093  3563.7790  0.613  0.157  1.615  3.286 1.0587
OGLE-LMC-ECL-00070  16.930 17.989    6.596996  3574.5744  0.192  0.044  5.379 42.687 1.1494
OGLE-LMC-ECL-00071  13.578 14.571    0.350509  3561.6622  0.578  0.185  0.740 -0.822 0.7298
